id,address_line1,address_line2,city,country,created_at,latitude,location_type,longitude,postal_code,province,updated_at
165,85 River Rd,Unit #16-058,Surabaya,Indonesia,2020-12-25,-7.171147,BRANCH_OFFICE,112.645958,678444,East Java,2021-03-12
166,856 Orchard Rd,Unit #35-905,Kuala Lumpur,Malaysia,2023-08-23,3.105793,INSURED_ADDRESS,101.69126,195715,Kuala Lumpur,2023-12-26
167,411 Market Rd,Unit #06-995,Manila,Philippines,2024-05-30,14.680843,INSURED_ADDRESS,121.020188,810244,Metro Manila,2025-05-22
168,662 Orchard Rd,Unit #18-512,Chiang Mai,Thailand,2023-06-19,18.76797,INSURED_ADDRESS,99.064648,56397,Chiang Mai,2023-08-07
169,911 Park Rd,Unit #88-379,Singapore,Singapore,2023-02-12,1.250388,GARAGE,103.844811,456381,Central,2023-03-19
170,514 Beach Rd,Unit #06-620,Jakarta,Indonesia,2021-01-30,-6.071784,BRANCH_OFFICE,106.774778,963938,DKI Jakarta,2021-06-30
171,944 Park Rd,Unit #17-388,Manila,Philippines,2021-08-19,14.63911,OTHER,120.998151,900941,Metro Manila,2022-03-09
172,378 Beach Rd,Unit #31-180,Penang,Malaysia,2020-10-23,5.402267,BRANCH_OFFICE,100.257909,992663,Penang,2021-06-24
173,267 Market Rd,Unit #38-706,Bangkok,Thailand,2021-09-29,13.737473,BRANCH_OFFICE,100.583633,356723,Bangkok,2022-10-31
174,867 Hill Rd,Unit #68-920,Jakarta,Indonesia,2019-02-19,-6.19305,INSURED_ADDRESS,106.783729,787391,DKI Jakarta,2020-03-17
175,495 Park Rd,Unit #37-975,Surabaya,Indonesia,2022-09-08,-7.295851,GARAGE,112.789338,287033,East Java,2023-06-04
176,786 Market Rd,Unit #03-839,Phuket,Thailand,2020-07-27,7.816592,INSURED_ADDRESS,98.322636,228742,Phuket,2021-03-27
177,995 Beach Rd,Unit #34-262,Johor Bahru,Malaysia,2021-03-26,1.472768,OTHER,103.672441,793968,Johor,2022-03-17
178,968 Hill Rd,Unit #06-799,Jakarta,Indonesia,2024-12-24,-6.207456,INSURED_ADDRESS,106.640359,576310,DKI Jakarta,2025-11-07
179,663 Market Rd,Unit #06-145,Phuket,Thailand,2022-01-30,8.062783,INSURED_ADDRESS,98.204755,195973,Phuket,2023-02-17
180,852 Hill Rd,Unit #74-201,Surabaya,Indonesia,2024-07-11,-7.216314,INSURED_ADDRESS,112.628919,239964,East Java,2025-08-08
181,233 River Rd,Unit #15-124,Phuket,Thailand,2020-06-01,7.992688,OTHER,98.489426,757315,Phuket,2020-07-29
182,232 Market Rd,Unit #18-915,Phuket,Thailand,2022-12-06,7.977425,BRANCH_OFFICE,98.274572,139469,Phuket,2023-01-21
183,392 Main Rd,Unit #78-111,Penang,Malaysia,2024-10-26,5.421328,OTHER,100.369686,888922,Penang,2025-10-12
184,164 Orchard Rd,Unit #42-017,Johor Bahru,Malaysia,2023-01-20,1.485059,ACCIDENT_SITE,103.761179,209008,Johor,2024-02-20
185,593 Orchard Rd,Unit #13-940,Chiang Mai,Thailand,2021-10-08,18.871989,OTHER,99.097251,752762,Chiang Mai,2022-07-20
186,588 Beach Rd,Unit #88-397,Johor Bahru,Malaysia,2020-01-21,1.522867,BRANCH_OFFICE,103.666358,409812,Johor,2020-08-24
187,618 Orchard Rd,Unit #79-943,Surabaya,Indonesia,2024-07-31,-7.246302,GARAGE,112.870069,993373,East Java,2024-11-16
188,380 Beach Rd,Unit #90-046,Phuket,Thailand,2020-12-31,8.021562,INSURED_ADDRESS,98.357195,113442,Phuket,2021-09-27
189,569 Hill Rd,Unit #64-206,Bangkok,Thailand,2021-04-07,13.828297,INSURED_ADDRESS,100.457962,553398,Bangkok,2021-05-31
190,788 Park Rd,Unit #16-878,Jakarta,Indonesia,2019-08-28,-6.29823,INSURED_ADDRESS,106.601368,809199,DKI Jakarta,2020-03-23
191,927 Hill Rd,Unit #80-423,Jakarta,Indonesia,2024-01-27,-6.182151,ACCIDENT_SITE,106.788093,219096,DKI Jakarta,2024-07-08
