id,incident_description,accident_location_id,policy_id,accident_date,description,severity,surveyor_id,vehicle_id
120,Broken windshield,120,120,2022-10-16 09:18:36,Significant front-end damage,Medium,120,120
121,Parking dent,121,121,2025-05-10 01:58:52,Minor damage to bumper,Low,121,121
122,Parking dent,122,122,2023-04-15 02:24:07,Minor damage to bumper,Medium,122,122
123,Rear-end collision,123,123,2025-08-28 01:08:31,Scratches and dents,Low,123,123
124,Broken windshield,124,124,2021-08-15 09:53:14,Windshield cracked,High,124,124
125,Theft report,125,125,2022-01-05 01:07:32,Scratches and dents,Low,125,125
126,Flood damage,126,126,2022-11-17 01:05:07,Scratches and dents,Medium,126,126
127,Parking dent,127,127,2023-09-11 20:05:23,Scratches and dents,High,127,127
128,Rear-end collision,128,128,2022-09-10 02:10:36,Minor damage to bumper,Low,128,128
129,Flood damage,129,129,2025-07-08 06:05:33,Significant front-end damage,Medium,129,129
130,Rear-end collision,130,130,2025-09-25 05:15:17,Scratches and dents,Low,130,130
131,Side-swipe,131,131,2024-03-02 07:41:17,Engine stalled in water,Medium,131,131
132,Flood damage,132,132,2021-05-02 05:14:02,Significant front-end damage,Medium,132,132
133,Broken windshield,133,133,2022-02-08 02:09:04,Significant front-end damage,Medium,133,133
134,Flood damage,134,134,2024-01-16 02:57:02,Significant front-end damage,High,134,134
135,Side-swipe,135,135,2020-09-01 11:23:54,Scratches and dents,Medium,135,135
136,Flood damage,136,136,2024-05-25 05:52:47,Engine stalled in water,High,136,136
137,Flood damage,137,137,2025-10-15 23:38:41,Scratches and dents,Medium,137,137
138,Broken windshield,138,138,2024-06-23 02:14:24,Minor damage to bumper,Medium,138,138
139,Flood damage,139,139,2022-03-24 02:46:42,Engine stalled in water,High,139,139
140,Flood damage,140,140,2025-07-26 23:48:39,Minor damage to bumper,Low,140,140
141,Rear-end collision,141,141,2021-01-16 02:01:27,Engine stalled in water,High,141,141
142,Rear-end collision,142,142,2025-11-07 23:16:59,Significant front-end damage,Low,142,142
143,Side-swipe,143,143,2022-05-31 21:23:23,Scratches and dents,High,143,143
144,Theft report,144,144,2023-05-07 22:29:31,Minor damage to bumper,Medium,144,144
145,Theft report,145,145,2023-07-07 09:45:29,Significant front-end damage,Low,145,145
146,Side-swipe,146,146,2024-07-15 12:25:06,Scratches and dents,Medium,146,146
147,Side-swipe,147,147,2021-08-03 11:31:01,Engine stalled in water,Low,147,147
148,Broken windshield,148,148,2020-11-26 09:14:02,Scratches and dents,High,148,148
149,Rear-end collision,149,149,2025-05-26 22:21:55,Minor damage to bumper,Low,149,149
150,Theft report,150,150,2023-05-25 01:41:41,Engine stalled in water,Medium,150,150
151,Broken windshield,151,151,2022-03-29 06:16:31,Scratches and dents,High,151,151
152,Rear-end collision,152,152,2022-04-01 10:56:48,Significant front-end damage,High,152,152
153,Theft report,153,153,2021-06-15 19:25:30,Minor damage to bumper,Low,153,153
154,Flood damage,154,154,2022-06-05 00:21:46,Windshield cracked,Medium,154,154
155,Rear-end collision,155,155,2025-09-06 14:37:20,Engine stalled in water,Low,155,155
156,Side-swipe,156,156,2022-03-09 18:18:58,Scratches and dents,High,156,156
157,Parking dent,157,157,2025-01-16 23:53:27,Windshield cracked,Low,157,157
158,Broken windshield,158,158,2024-12-27 16:08:53,Scratches and dents,High,158,158
159,Theft report,159,159,2023-04-11 21:31:31,Windshield cracked,Low,159,159
160,Flood damage,160,160,2020-07-20 16:13:23,Significant front-end damage,High,160,160
161,Flood damage,161,161,2025-07-28 23:25:23,Minor damage to bumper,Medium,161,161
162,Theft report,162,162,2023-04-20 23:59:56,Scratches and dents,Low,162,162
163,Side-swipe,163,163,2025-04-23 06:10:00,Significant front-end damage,High,163,163
164,Flood damage,164,164,2022-11-02 08:40:03,Minor damage to bumper,Low,164,164
165,Side-swipe,165,165,2023-07-24 18:40:01,Minor damage to bumper,High,165,165
166,Rear-end collision,166,166,2023-10-02 10:41:57,Significant front-end damage,Medium,166,166
167,Side-swipe,167,167,2024-05-06 04:20:48,Windshield cracked,Medium,167,167
168,Theft report,168,168,2024-10-02 17:48:24,Minor damage to bumper,High,168,168
169,Rear-end collision,169,169,2022-11-18 23:41:47,Windshield cracked,High,169,169
170,Flood damage,170,170,2023-11-15 02:13:47,Scratches and dents,Medium,170,170
171,Theft report,171,171,2025-08-23 02:38:36,Windshield cracked,High,171,171
172,Flood damage,172,172,2021-08-20 08:48:52,Minor damage to bumper,Low,172,172
173,Flood damage,173,173,2025-06-10 20:10:55,Windshield cracked,High,173,173
174,Flood damage,174,174,2021-02-13 17:37:13,Windshield cracked,Medium,174,174
175,Parking dent,175,175,2024-09-03 23:17:14,Windshield cracked,Medium,175,175
176,Theft report,176,176,2022-10-01 10:36:34,Scratches and dents,Low,176,176
177,Parking dent,177,177,2024-05-16 00:00:14,Windshield cracked,High,177,177
178,Rear-end collision,178,178,2022-11-11 16:07:29,Minor damage to bumper,Medium,178,178
179,Broken windshield,179,179,2024-09-15 02:07:30,Windshield cracked,Low,179,179
180,Theft report,180,180,2024-12-06 03:47:17,Engine stalled in water,Medium,180,180
181,Parking dent,181,181,2022-10-26 22:35:42,Significant front-end damage,Low,181,181
182,Parking dent,182,182,2025-09-11 10:26:42,Scratches and dents,High,182,182
183,Flood damage,183,183,2020-12-30 10:22:39,Significant front-end damage,Medium,183,183
184,Theft report,184,184,2022-02-01 16:37:25,Engine stalled in water,Medium,184,184
185,Theft report,185,185,2023-07-12 00:39:03,Scratches and dents,Low,185,185
186,Broken windshield,186,186,2024-03-12 18:11:57,Significant front-end damage,Low,186,186
187,Flood damage,187,187,2022-02-09 02:19:57,Engine stalled in water,Low,187,187
188,Rear-end collision,188,188,2022-07-02 02:40:07,Significant front-end damage,Medium,188,188
189,Rear-end collision,189,189,2021-10-21 04:35:20,Minor damage to bumper,Low,189,189
190,Parking dent,190,190,2024-05-10 14:23:21,Windshield cracked,High,190,190
191,Broken windshield,191,191,2023-07-16 18:57:53,Windshield cracked,Medium,191,191
192,Broken windshield,192,192,2022-09-05 22:19:16,Windshield cracked,Medium,192,192
193,Rear-end collision,193,193,2020-11-28 05:05:45,Minor damage to bumper,Medium,193,193
194,Parking dent,194,194,2024-01-06 23:51:30,Windshield cracked,Medium,194,194
195,Theft report,195,195,2021-10-11 10:40:19,Engine stalled in water,Medium,195,195
196,Flood damage,196,196,2020-09-05 23:56:12,Engine stalled in water,Medium,196,196
197,Broken windshield,197,197,2024-01-15 11:21:05,Scratches and dents,High,197,197
198,Theft report,198,198,2023-09-01 08:25:07,Scratches and dents,Medium,198,198
199,Parking dent,199,199,2020-05-23 03:19:09,Windshield cracked,High,199,199
200,Side-swipe,200,200,2025-03-29 11:49:18,Windshield cracked,Low,200,200
201,Rear-end collision,201,201,2020-04-06 00:01:18,Significant front-end damage,High,201,201
202,Side-swipe,202,202,2021-04-26 22:33:31,Windshield cracked,Medium,202,202
203,Parking dent,203,203,2020-06-11 07:12:09,Significant front-end damage,Low,203,203
204,Parking dent,204,204,2023-02-24 14:41:51,Scratches and dents,Low,204,204
205,Broken windshield,205,205,2021-05-24 12:52:35,Minor damage to bumper,High,205,205
206,Flood damage,206,206,2024-07-22 07:15:29,Significant front-end damage,High,206,206
207,Parking dent,207,207,2022-11-10 11:14:17,Scratches and dents,Medium,207,207
208,Broken windshield,208,208,2025-08-13 16:57:03,Significant front-end damage,High,208,208
209,Theft report,209,209,2022-11-01 15:25:29,Windshield cracked,Medium,209,209
210,Broken windshield,210,210,2021-01-16 19:24:17,Significant front-end damage,High,210,210
211,Theft report,211,211,2022-09-20 05:39:30,Minor damage to bumper,Medium,211,211
212,Flood damage,212,212,2023-03-11 04:04:29,Scratches and dents,High,212,212
213,Side-swipe,213,213,2021-01-16 15:56:21,Minor damage to bumper,High,213,213
214,Theft report,214,214,2025-08-17 23:50:49,Scratches and dents,Low,214,214
215,Flood damage,215,215,2021-10-18 16:52:44,Significant front-end damage,Medium,215,215
216,Parking dent,216,216,2020-11-03 15:19:47,Windshield cracked,High,216,216
217,Flood damage,217,217,2022-09-01 01:27:13,Windshield cracked,High,217,217
218,Rear-end collision,218,218,2020-01-13 13:29:10,Minor damage to bumper,Low,218,218
219,Parking dent,219,219,2023-06-08 23:48:27,Scratches and dents,Low,219,219
220,Flood damage,220,220,2020-12-29 16:37:14,Scratches and dents,High,220,220
221,Rear-end collision,221,221,2022-05-27 23:51:49,Significant front-end damage,Medium,221,221
222,Broken windshield,222,222,2020-11-28 02:44:12,Minor damage to bumper,Medium,222,222
223,Flood damage,223,223,2024-08-07 19:54:39,Windshield cracked,Low,223,223
224,Parking dent,224,224,2022-07-27 23:43:23,Engine stalled in water,Low,224,224
225,Broken windshield,225,225,2025-08-30 15:48:20,Minor damage to bumper,Medium,225,225
226,Rear-end collision,226,226,2025-10-29 17:26:47,Scratches and dents,Low,226,226
227,Parking dent,227,227,2020-07-07 06:14:41,Engine stalled in water,Low,227,227
228,Parking dent,228,228,2024-12-15 05:47:13,Engine stalled in water,Low,228,228
229,Broken windshield,229,229,2025-10-05 13:38:25,Minor damage to bumper,High,229,229
230,Rear-end collision,230,230,2022-03-23 06:29:14,Significant front-end damage,Medium,230,230
231,Parking dent,231,231,2022-01-17 03:40:12,Engine stalled in water,Medium,231,231
232,Rear-end collision,232,232,2024-06-17 14:48:38,Engine stalled in water,Low,232,232
233,Broken windshield,233,233,2023-08-04 16:36:12,Minor damage to bumper,Low,233,233
234,Broken windshield,234,234,2025-08-28 03:35:45,Scratches and dents,Medium,234,234
235,Flood damage,235,235,2025-12-07 03:44:37,Windshield cracked,Low,235,235
236,Side-swipe,236,236,2023-10-24 15:02:33,Windshield cracked,Low,236,236
237,Broken windshield,237,237,2024-01-27 17:40:17,Significant front-end damage,Medium,237,237
238,Rear-end collision,238,238,2025-08-02 19:45:46,Significant front-end damage,Medium,238,238
239,Theft report,239,239,2021-09-03 20:36:10,Engine stalled in water,Low,239,239
240,Rear-end collision,240,240,2021-12-22 03:05:18,Engine stalled in water,Low,240,240
241,Parking dent,241,241,2022-07-23 04:08:55,Engine stalled in water,Low,241,241
242,Flood damage,242,242,2020-09-06 14:05:12,Minor damage to bumper,Medium,242,242
243,Rear-end collision,243,243,2025-03-29 03:58:16,Minor damage to bumper,Low,243,243
244,Flood damage,244,244,2020-07-27 16:29:52,Significant front-end damage,High,244,244
245,Broken windshield,245,245,2025-08-29 04:29:46,Engine stalled in water,Low,245,245
246,Side-swipe,246,246,2021-07-17 08:25:30,Engine stalled in water,Medium,246,246
247,Rear-end collision,247,247,2023-01-14 13:33:54,Significant front-end damage,Medium,247,247
248,Parking dent,248,248,2023-04-16 12:24:43,Engine stalled in water,Low,248,248
249,Flood damage,249,249,2021-02-13 02:23:58,Scratches and dents,Low,249,249
250,Parking dent,250,250,2024-02-13 09:41:29,Significant front-end damage,High,250,250
251,Side-swipe,251,251,2024-10-17 01:52:34,Engine stalled in water,Medium,251,251
252,Rear-end collision,252,252,2022-05-18 05:09:07,Minor damage to bumper,High,252,252
253,Parking dent,253,253,2020-02-23 20:25:58,Scratches and dents,High,253,253
254,Broken windshield,254,254,2024-02-18 04:04:50,Scratches and dents,Medium,254,254
255,Side-swipe,255,255,2023-02-14 15:11:32,Engine stalled in water,Low,255,255
256,Rear-end collision,256,256,2022-11-19 08:30:49,Windshield cracked,Low,256,256
257,Theft report,257,257,2021-10-15 06:36:11,Minor damage to bumper,Low,257,257
258,Side-swipe,258,258,2024-02-08 20:01:58,Minor damage to bumper,High,258,258
259,Side-swipe,259,259,2025-02-20 12:48:54,Scratches and dents,Medium,259,259
260,Side-swipe,260,260,2022-08-03 07:26:42,Minor damage to bumper,Low,260,260
261,Parking dent,261,261,2025-09-16 08:21:56,Minor damage to bumper,Low,261,261
262,Theft report,262,262,2022-07-07 04:49:04,Minor damage to bumper,Low,262,262
263,Side-swipe,263,263,2020-12-28 09:09:16,Windshield cracked,Low,263,263
264,Flood damage,264,264,2024-05-28 12:59:46,Engine stalled in water,Medium,264,264
265,Flood damage,265,265,2021-05-07 02:23:46,Windshield cracked,High,265,265
266,Side-swipe,266,266,2021-11-04 01:12:07,Windshield cracked,Low,266,266
267,Parking dent,267,267,2022-11-23 12:30:12,Windshield cracked,Medium,267,267
268,Parking dent,268,268,2023-02-07 15:02:23,Scratches and dents,Low,268,268
269,Theft report,269,269,2025-12-12 17:39:30,Engine stalled in water,Medium,269,269
270,Side-swipe,270,270,2023-07-13 22:14:30,Minor damage to bumper,Low,270,270
271,Theft report,271,271,2022-12-16 00:33:48,Engine stalled in water,High,271,271
272,Parking dent,272,272,2022-12-05 22:23:35,Significant front-end damage,Medium,272,272
273,Flood damage,273,273,2021-10-15 06:12:08,Significant front-end damage,Low,273,273
274,Theft report,274,274,2021-02-20 15:41:40,Windshield cracked,Medium,274,274
275,Side-swipe,275,275,2021-03-24 15:06:11,Significant front-end damage,Medium,275,275
276,Flood damage,276,276,2021-11-29 05:58:22,Significant front-end damage,High,276,276
277,Rear-end collision,277,277,2025-08-07 12:19:57,Minor damage to bumper,Low,277,277
278,Rear-end collision,278,278,2022-06-17 13:27:26,Significant front-end damage,Low,278,278
279,Rear-end collision,279,279,2022-07-13 22:38:09,Engine stalled in water,Low,279,279
280,Broken windshield,280,280,2024-11-17 20:40:00,Scratches and dents,High,280,280
281,Parking dent,281,281,2022-01-03 08:34:53,Scratches and dents,Low,281,281
282,Flood damage,282,282,2023-05-26 08:08:38,Minor damage to bumper,Medium,282,282
283,Side-swipe,283,283,2021-08-09 20:29:31,Windshield cracked,Medium,283,283
284,Flood damage,284,284,2022-04-03 07:52:41,Engine stalled in water,High,284,284
285,Side-swipe,285,285,2022-07-22 18:01:34,Scratches and dents,High,285,285
286,Rear-end collision,286,286,2024-11-14 17:07:49,Engine stalled in water,High,286,286
287,Broken windshield,287,287,2024-04-01 12:08:58,Minor damage to bumper,High,287,287
288,Rear-end collision,288,288,2022-12-23 01:23:07,Significant front-end damage,Low,288,288
289,Flood damage,289,289,2020-09-23 16:31:13,Windshield cracked,Medium,289,289
290,Broken windshield,290,290,2022-01-20 05:23:05,Scratches and dents,High,290,290
291,Rear-end collision,291,291,2024-05-15 15:09:11,Minor damage to bumper,Medium,291,291
292,Flood damage,292,292,2021-03-28 10:59:34,Minor damage to bumper,High,292,292
293,Side-swipe,293,293,2024-01-11 10:00:56,Significant front-end damage,High,293,293
294,Theft report,294,294,2020-03-15 06:40:16,Minor damage to bumper,High,294,294
295,Parking dent,295,295,2023-09-02 11:36:01,Windshield cracked,High,295,295
296,Broken windshield,296,296,2021-02-19 23:43:08,Significant front-end damage,Medium,296,296
297,Rear-end collision,297,297,2025-07-12 06:34:35,Engine stalled in water,High,297,297
298,Rear-end collision,298,298,2024-08-26 01:49:47,Windshield cracked,High,298,298
299,Theft report,299,299,2025-08-12 01:00:10,Scratches and dents,Low,299,299
300,Rear-end collision,300,300,2021-08-26 03:23:58,Windshield cracked,Medium,300,300
301,Flood damage,301,301,2020-04-21 14:13:03,Windshield cracked,High,301,301
302,Side-swipe,302,302,2024-05-30 18:43:14,Minor damage to bumper,Low,302,302
303,Flood damage,303,303,2023-04-21 05:39:56,Scratches and dents,High,303,303
304,Side-swipe,304,304,2024-06-16 10:16:03,Scratches and dents,Low,304,304
305,Rear-end collision,305,305,2022-11-27 17:36:58,Engine stalled in water,High,305,305
306,Flood damage,306,306,2020-11-04 15:29:19,Scratches and dents,Medium,306,306
307,Broken windshield,307,307,2025-03-03 20:08:16,Engine stalled in water,High,307,307
308,Side-swipe,308,308,2024-05-23 05:35:10,Significant front-end damage,Medium,308,308
309,Flood damage,309,309,2020-07-10 13:01:59,Significant front-end damage,Medium,309,309
310,Parking dent,310,310,2020-10-11 15:20:54,Minor damage to bumper,Low,310,310
311,Broken windshield,311,311,2025-12-25 02:16:43,Minor damage to bumper,Medium,311,311
312,Theft report,312,312,2022-05-15 00:25:30,Windshield cracked,Low,312,312
313,Flood damage,313,313,2022-02-24 18:37:11,Engine stalled in water,High,313,313
314,Rear-end collision,314,314,2023-01-15 21:14:43,Scratches and dents,Low,314,314
315,Rear-end collision,315,315,2020-05-15 16:08:53,Significant front-end damage,Low,315,315
316,Broken windshield,316,316,2023-12-13 22:36:28,Significant front-end damage,Low,316,316
317,Theft report,317,317,2023-09-02 06:38:33,Significant front-end damage,Low,317,317
318,Side-swipe,318,318,2020-12-14 15:42:23,Minor damage to bumper,Medium,318,318
319,Rear-end collision,319,319,2022-07-12 10:04:59,Windshield cracked,Medium,319,319
320,Side-swipe,320,320,2021-10-18 23:46:02,Engine stalled in water,Medium,320,320
321,Theft report,321,321,2024-07-09 01:18:29,Significant front-end damage,High,321,321
322,Theft report,322,322,2020-02-04 11:02:08,Engine stalled in water,Low,322,322
323,Side-swipe,323,323,2024-06-18 12:10:55,Engine stalled in water,Low,323,323
324,Theft report,324,324,2025-02-28 03:36:59,Minor damage to bumper,Low,324,324
325,Side-swipe,325,325,2021-11-08 14:30:58,Engine stalled in water,Low,325,325
326,Parking dent,326,326,2020-05-18 12:25:59,Windshield cracked,High,326,326
327,Theft report,327,327,2020-02-28 09:38:44,Significant front-end damage,High,327,327
328,Flood damage,328,328,2023-06-07 14:47:36,Engine stalled in water,Medium,328,328
329,Parking dent,329,329,2025-09-29 18:39:30,Minor damage to bumper,High,329,329
330,Rear-end collision,330,330,2022-07-01 18:16:43,Scratches and dents,Low,330,330
331,Broken windshield,331,331,2023-02-20 05:29:26,Scratches and dents,Low,331,331
332,Flood damage,332,332,2025-11-19 02:52:56,Engine stalled in water,Low,332,332
333,Theft report,333,333,2022-08-04 07:17:57,Engine stalled in water,Low,333,333
334,Parking dent,334,334,2024-06-28 17:28:07,Windshield cracked,Low,334,334
335,Broken windshield,335,335,2023-05-13 09:50:24,Scratches and dents,Medium,335,335
336,Side-swipe,336,336,2023-07-07 23:25:58,Scratches and dents,High,336,336
