id,claim_amount,claim_number,claim_status,status,fnol_id,policy_id,claim_severity,date_reported,incident_date,location,surveyor_id
45,18986.0,CLM-2023-000045,PAID,,45,45,Medium,2021-12-28,2021-12-28,On Site,45
46,6088.53,CLM-2024-000046,REGISTERED,,46,46,High,2022-12-22,2022-12-13,Client Address,46
47,5306.15,CLM-2025-000047,REGISTERED,,47,47,High,2021-08-28,2021-08-09,Client Address,47
48,17610.79,CLM-2020-000048,REGISTERED,,48,48,High,2021-07-09,2021-06-23,Workshop B,48
49,13751.38,CLM-2021-000049,REJECTED,,49,49,High,2023-03-03,2023-02-22,Tow Yard,49
50,19746.39,CLM-2022-000050,REJECTED,,50,50,High,2023-11-04,2023-10-22,Tow Yard,50
51,17555.57,CLM-2023-000051,APPROVED,,51,51,Low,2020-06-02,2020-05-21,On Site,51
52,17054.67,CLM-2024-000052,REGISTERED,,52,52,High,2021-04-19,2021-04-16,Workshop B,52
53,12937.68,CLM-2025-000053,REJECTED,,53,53,High,2022-07-01,2022-06-14,Workshop A,53
54,11153.88,CLM-2020-000054,REJECTED,,54,54,Low,2025-12-12,2025-12-11,Client Address,54
55,11313.16,CLM-2021-000055,UNDER_REVIEW,,55,55,Low,2022-07-07,2022-06-17,Tow Yard,55
56,13714.52,CLM-2022-000056,APPROVED,,56,56,Medium,2022-09-25,2022-09-24,Workshop A,56
57,3295.2,CLM-2023-000057,UNDER_REVIEW,,57,57,High,2020-05-06,2020-04-21,Client Address,57
58,17582.14,CLM-2024-000058,REJECTED,,58,58,Medium,2021-07-04,2021-06-24,Tow Yard,58
59,990.11,CLM-2025-000059,APPROVED,,59,59,High,2025-02-05,2025-02-04,On Site,59
60,13261.05,CLM-2020-000060,APPROVED,,60,60,High,2022-01-14,2021-12-26,Tow Yard,60
61,15719.01,CLM-2021-000061,REJECTED,,61,61,High,2024-08-19,2024-08-02,Tow Yard,61
62,504.26,CLM-2022-000062,REGISTERED,,62,62,High,2022-03-31,2022-03-15,On Site,62
63,2573.59,CLM-2023-000063,REGISTERED,,63,63,Low,2021-09-30,2021-09-27,Client Address,63
64,10092.04,CLM-2024-000064,PAID,,64,64,Low,2021-12-24,2021-12-11,Tow Yard,64
65,2239.58,CLM-2025-000065,REGISTERED,,65,65,Medium,2021-11-14,2021-11-02,On Site,65
66,5147.94,CLM-2020-000066,REJECTED,,66,66,Medium,2024-11-25,2024-11-13,Workshop B,66
67,7904.63,CLM-2021-000067,APPROVED,,67,67,Medium,2022-05-03,2022-04-18,Workshop B,67
68,214.25,CLM-2022-000068,PAID,,68,68,Medium,2024-02-12,2024-01-29,Workshop B,68
69,15372.41,CLM-2023-000069,PAID,,69,69,Medium,2024-08-27,2024-08-24,Client Address,69
70,14669.63,CLM-2024-000070,PAID,,70,70,Medium,2023-05-15,2023-05-14,Workshop A,70
71,3551.25,CLM-2025-000071,APPROVED,,71,71,Low,2020-04-09,2020-03-31,Client Address,71
72,6804.68,CLM-2020-000072,REJECTED,,72,72,Low,2025-12-08,2025-11-29,Workshop B,72
73,12415.54,CLM-2021-000073,PAID,,73,73,Low,2020-04-17,2020-03-29,On Site,73
74,9378.86,CLM-2022-000074,REJECTED,,74,74,High,2025-10-18,2025-10-14,On Site,74
75,13134.88,CLM-2023-000075,REGISTERED,,75,75,High,2021-08-30,2021-08-29,Workshop A,75
76,16031.37,CLM-2024-000076,REJECTED,,76,76,Medium,2021-04-28,2021-04-22,Workshop A,76
77,2422.18,CLM-2025-000077,REGISTERED,,77,77,High,2023-05-23,2023-05-18,Workshop A,77
78,774.06,CLM-2020-000078,REGISTERED,,78,78,High,2020-07-26,2020-07-22,Client Address,78
79,13319.72,CLM-2021-000079,REGISTERED,,79,79,Low,2022-08-25,2022-08-20,On Site,79
80,7814.98,CLM-2022-000080,APPROVED,,80,80,Medium,2022-02-09,2022-01-23,Workshop B,80
81,15038.62,CLM-2023-000081,PAID,,81,81,Medium,2020-05-24,2020-05-05,Workshop A,81
82,7205.8,CLM-2024-000082,REJECTED,,82,82,Low,2025-12-16,2025-11-26,Tow Yard,82
83,15420.41,CLM-2025-000083,UNDER_REVIEW,,83,83,Low,2021-08-12,2021-07-26,Workshop A,83
84,10772.01,CLM-2020-000084,REJECTED,,84,84,High,2023-06-14,2023-05-30,Workshop A,84
85,343.04,CLM-2021-000085,REGISTERED,,85,85,Low,2020-11-26,2020-11-26,On Site,85
86,15623.71,CLM-2022-000086,APPROVED,,86,86,High,2023-08-27,2023-08-20,Workshop A,86
87,1845.21,CLM-2023-000087,REGISTERED,,87,87,Low,2025-07-21,2025-07-14,Client Address,87
88,10628.32,CLM-2024-000088,REGISTERED,,88,88,Medium,2025-06-14,2025-05-29,On Site,88
89,16818.77,CLM-2025-000089,UNDER_REVIEW,,89,89,High,2022-01-16,2022-01-11,Workshop B,89
90,8071.65,CLM-2020-000090,REJECTED,,90,90,Medium,2020-08-17,2020-08-06,Client Address,90
91,12634.32,CLM-2021-000091,REJECTED,,91,91,Low,2024-11-21,2024-11-13,Workshop A,91
92,3609.7,CLM-2022-000092,APPROVED,,92,92,High,2025-11-12,2025-11-02,Workshop A,92
93,8270.04,CLM-2023-000093,APPROVED,,93,93,High,2025-10-07,2025-09-30,Client Address,93
94,2172.15,CLM-2024-000094,REGISTERED,,94,94,High,2021-07-05,2021-07-05,Client Address,94
95,2127.53,CLM-2025-000095,APPROVED,,95,95,Medium,2023-10-29,2023-10-17,Client Address,95
96,8403.42,CLM-2020-000096,APPROVED,,96,96,Low,2023-07-07,2023-07-01,On Site,96
97,18874.61,CLM-2021-000097,UNDER_REVIEW,,97,97,High,2021-01-04,2020-12-23,Workshop A,97
98,5625.92,CLM-2022-000098,REGISTERED,,98,98,Medium,2024-07-22,2024-07-21,Client Address,98
99,3972.77,CLM-2023-000099,APPROVED,,99,99,Medium,2022-07-08,2022-07-02,Client Address,99
100,18539.49,CLM-2024-000100,APPROVED,,100,100,Medium,2023-02-24,2023-02-13,On Site,100
101,18958.88,CLM-2025-000101,PAID,,101,101,High,2025-01-29,2025-01-19,Workshop B,101
102,11457.01,CLM-2020-000102,PAID,,102,102,High,2024-10-17,2024-10-08,Workshop A,102
103,2505.88,CLM-2021-000103,UNDER_REVIEW,,103,103,Low,2024-09-24,2024-09-24,Client Address,103
104,15910.95,CLM-2022-000104,REJECTED,,104,104,Medium,2025-07-08,2025-07-05,Workshop B,104
105,12662.92,CLM-2023-000105,UNDER_REVIEW,,105,105,High,2024-08-26,2024-08-15,On Site,105
106,14584.88,CLM-2024-000106,PAID,,106,106,High,2022-09-15,2022-09-06,Workshop A,106
107,12111.68,CLM-2025-000107,REJECTED,,107,107,High,2024-02-21,2024-02-18,Workshop A,107
108,3758.92,CLM-2020-000108,REGISTERED,,108,108,Medium,2021-05-07,2021-04-20,Workshop B,108
109,15701.06,CLM-2021-000109,UNDER_REVIEW,,109,109,Medium,2025-08-11,2025-08-05,On Site,109
110,2670.32,CLM-2022-000110,APPROVED,,110,110,High,2021-12-26,2021-12-26,Client Address,110
111,19566.29,CLM-2023-000111,REJECTED,,111,111,High,2020-04-13,2020-04-06,Workshop B,111
112,2694.44,CLM-2024-000112,PAID,,112,112,Medium,2022-03-04,2022-02-14,Tow Yard,112
113,5953.41,CLM-2025-000113,UNDER_REVIEW,,113,113,Low,2021-04-16,2021-04-12,On Site,113
114,9392.49,CLM-2020-000114,APPROVED,,114,114,Low,2025-08-04,2025-07-19,Tow Yard,114
115,15705.94,CLM-2021-000115,REJECTED,,115,115,Medium,2023-02-28,2023-02-17,On Site,115
116,1575.92,CLM-2022-000116,REJECTED,,116,116,Medium,2022-02-03,2022-01-28,Workshop B,116
117,14021.27,CLM-2023-000117,UNDER_REVIEW,,117,117,Medium,2023-04-10,2023-04-08,Client Address,117
118,8549.32,CLM-2024-000118,REGISTERED,,118,118,Medium,2021-01-09,2021-01-09,Workshop B,118
119,620.02,CLM-2025-000119,REGISTERED,,119,119,Medium,2020-02-24,2020-02-17,Workshop B,119
120,19030.06,CLM-2020-000120,APPROVED,,120,120,Medium,2025-05-24,2025-05-22,Client Address,120
121,12187.63,CLM-2021-000121,UNDER_REVIEW,,121,121,Medium,2021-08-28,2021-08-20,Workshop B,121
122,4848.65,CLM-2022-000122,REJECTED,,122,122,Low,2020-05-01,2020-04-13,Workshop A,122
123,17948.89,CLM-2023-000123,REGISTERED,,123,123,Medium,2025-03-27,2025-03-22,On Site,123
124,14991.79,CLM-2024-000124,REGISTERED,,124,124,Low,2023-03-06,2023-03-02,Tow Yard,124
125,12614.06,CLM-2025-000125,REJECTED,,125,125,High,2024-11-11,2024-11-07,Workshop A,125
126,19546.64,CLM-2020-000126,REGISTERED,,126,126,High,2021-12-03,2021-11-20,Tow Yard,126
127,395.29,CLM-2021-000127,REJECTED,,127,127,High,2022-07-13,2022-07-05,Client Address,127
128,18605.86,CLM-2022-000128,REGISTERED,,128,128,Medium,2023-03-16,2023-02-27,On Site,128
129,336.83,CLM-2023-000129,APPROVED,,129,129,High,2021-05-22,2021-05-07,Client Address,129
130,4128.57,CLM-2024-000130,REGISTERED,,130,130,Low,2022-10-10,2022-09-27,On Site,130
131,2783.61,CLM-2025-000131,PAID,,131,131,High,2020-12-23,2020-12-20,Workshop A,131
132,3133.16,CLM-2020-000132,APPROVED,,132,132,High,2020-06-09,2020-05-20,Tow Yard,132
133,14541.28,CLM-2021-000133,UNDER_REVIEW,,133,133,Low,2024-07-06,2024-07-03,Workshop A,133
134,6829.91,CLM-2022-000134,UNDER_REVIEW,,134,134,Low,2024-10-21,2024-10-05,Client Address,134
135,19442.03,CLM-2023-000135,REJECTED,,135,135,High,2021-08-13,2021-07-27,Workshop B,135
136,6401.16,CLM-2024-000136,REJECTED,,136,136,Medium,2025-04-02,2025-03-18,Workshop B,136
137,5958.66,CLM-2025-000137,PAID,,137,137,Medium,2021-06-21,2021-06-11,Workshop A,137
138,12921.19,CLM-2020-000138,REJECTED,,138,138,High,2025-03-23,2025-03-09,Workshop A,138
139,480.9,CLM-2021-000139,REJECTED,,139,139,High,2023-08-19,2023-08-09,Client Address,139
140,11708.42,CLM-2022-000140,REGISTERED,,140,140,Low,2024-12-24,2024-12-08,Tow Yard,140
141,14210.0,CLM-2023-000141,REGISTERED,,141,141,Low,2020-04-23,2020-04-04,Client Address,141
142,656.16,CLM-2024-000142,PAID,,142,142,High,2020-05-01,2020-04-14,Workshop B,142
143,13828.19,CLM-2025-000143,APPROVED,,143,143,High,2020-02-09,2020-01-30,Client Address,143
144,4635.48,CLM-2020-000144,REGISTERED,,144,144,High,2021-02-24,2021-02-24,Workshop A,144
145,4531.94,CLM-2021-000145,APPROVED,,145,145,Medium,2021-03-08,2021-03-04,Client Address,145
146,15757.41,CLM-2022-000146,APPROVED,,146,146,Low,2022-04-22,2022-04-17,Tow Yard,146
147,4284.89,CLM-2023-000147,REGISTERED,,147,147,High,2024-10-30,2024-10-19,Client Address,147
148,8102.45,CLM-2024-000148,REGISTERED,,148,148,Medium,2024-05-01,2024-04-18,Tow Yard,148
149,14091.14,CLM-2025-000149,PAID,,149,149,High,2025-09-23,2025-09-22,On Site,149
150,19263.37,CLM-2020-000150,REJECTED,,150,150,Low,2020-06-23,2020-06-12,Client Address,150
151,8794.45,CLM-2021-000151,PAID,,151,151,High,2022-04-04,2022-03-30,Workshop A,151
152,4865.22,CLM-2022-000152,REGISTERED,,152,152,Low,2023-09-12,2023-09-11,On Site,152
153,5153.94,CLM-2023-000153,PAID,,153,153,High,2020-11-10,2020-11-08,Client Address,153
154,11155.22,CLM-2024-000154,APPROVED,,154,154,Low,2020-08-21,2020-08-18,Client Address,154
155,19043.74,CLM-2025-000155,APPROVED,,155,155,Medium,2022-07-22,2022-07-21,Workshop A,155
156,9225.26,CLM-2020-000156,REGISTERED,,156,156,Low,2024-01-22,2024-01-15,Workshop B,156
157,14529.41,CLM-2021-000157,PAID,,157,157,Low,2021-07-05,2021-06-30,Workshop A,157
158,17799.82,CLM-2022-000158,REJECTED,,158,158,Medium,2021-05-06,2021-04-22,Workshop A,158
159,9722.99,CLM-2023-000159,REGISTERED,,159,159,High,2024-01-02,2023-12-16,Workshop A,159
160,5945.71,CLM-2024-000160,UNDER_REVIEW,,160,160,Medium,2024-06-08,2024-06-01,Tow Yard,160
161,19508.77,CLM-2025-000161,REJECTED,,161,161,High,2022-07-06,2022-06-18,Client Address,161
162,17812.99,CLM-2020-000162,PAID,,162,162,Low,2023-08-13,2023-07-25,Workshop B,162
163,3463.4,CLM-2021-000163,REGISTERED,,163,163,Medium,2021-08-23,2021-08-19,Workshop A,163
164,12718.35,CLM-2022-000164,REJECTED,,164,164,High,2025-04-12,2025-03-24,Client Address,164
165,1809.24,CLM-2023-000165,UNDER_REVIEW,,165,165,Medium,2024-03-14,2024-02-29,Workshop B,165
166,9443.46,CLM-2024-000166,UNDER_REVIEW,,166,166,High,2023-06-08,2023-06-03,Client Address,166
167,12019.39,CLM-2025-000167,PAID,,167,167,High,2023-03-05,2023-02-20,Tow Yard,167
168,18974.38,CLM-2020-000168,PAID,,168,168,Medium,2020-01-29,2020-01-19,Workshop B,168
169,5367.32,CLM-2021-000169,APPROVED,,169,169,Low,2022-02-23,2022-02-05,On Site,169
170,9139.68,CLM-2022-000170,REJECTED,,170,170,High,2023-04-10,2023-03-31,Workshop B,170
171,5148.83,CLM-2023-000171,PAID,,171,171,Low,2023-08-24,2023-08-05,Client Address,171
172,8375.28,CLM-2024-000172,APPROVED,,172,172,High,2021-11-23,2021-11-12,Workshop B,172
173,481.81,CLM-2025-000173,REGISTERED,,173,173,Medium,2025-06-05,2025-05-24,Workshop B,173
174,8709.16,CLM-2020-000174,REGISTERED,,174,174,Low,2020-02-09,2020-01-22,Client Address,174
175,6263.4,CLM-2021-000175,APPROVED,,175,175,Low,2024-02-27,2024-02-23,Tow Yard,175
176,13853.49,CLM-2022-000176,UNDER_REVIEW,,176,176,High,2025-12-15,2025-12-06,Tow Yard,176
177,11770.65,CLM-2023-000177,APPROVED,,177,177,Low,2022-11-26,2022-11-19,Client Address,177
178,19239.06,CLM-2024-000178,REGISTERED,,178,178,Medium,2024-09-16,2024-09-04,Tow Yard,178
179,17166.93,CLM-2025-000179,REGISTERED,,179,179,Medium,2024-12-08,2024-12-04,Client Address,179
180,5254.63,CLM-2020-000180,REJECTED,,180,180,Low,2023-10-13,2023-10-08,Client Address,180
181,15152.36,CLM-2021-000181,UNDER_REVIEW,,181,181,High,2020-09-30,2020-09-29,Client Address,181
182,14319.29,CLM-2022-000182,REJECTED,,182,182,High,2020-02-22,2020-02-19,On Site,182
183,18300.59,CLM-2023-000183,REGISTERED,,183,183,Low,2023-06-06,2023-06-03,Client Address,183
184,16107.84,CLM-2024-000184,APPROVED,,184,184,Medium,2022-12-07,2022-11-26,Tow Yard,184
185,12354.24,CLM-2025-000185,PAID,,185,185,Medium,2021-05-05,2021-05-03,Workshop B,185
186,800.77,CLM-2020-000186,REGISTERED,,186,186,Low,2021-09-01,2021-08-18,Workshop A,186
187,6410.34,CLM-2021-000187,REGISTERED,,187,187,Low,2021-12-11,2021-11-21,Workshop A,187
188,10831.41,CLM-2022-000188,UNDER_REVIEW,,188,188,Low,2020-09-29,2020-09-24,Tow Yard,188
189,10457.34,CLM-2023-000189,REGISTERED,,189,189,Low,2020-09-23,2020-09-10,Workshop B,189
190,5070.94,CLM-2024-000190,UNDER_REVIEW,,190,190,Low,2025-12-10,2025-12-04,Workshop B,190
191,6204.16,CLM-2025-000191,PAID,,191,191,High,2021-12-18,2021-12-09,Workshop B,191
192,15049.95,CLM-2020-000192,REJECTED,,192,192,Low,2020-06-14,2020-06-06,Workshop A,192
193,1189.97,CLM-2021-000193,REGISTERED,,193,193,Medium,2022-08-12,2022-08-06,Tow Yard,193
194,11009.15,CLM-2022-000194,UNDER_REVIEW,,194,194,High,2025-06-26,2025-06-16,On Site,194
195,2762.68,CLM-2023-000195,APPROVED,,195,195,Medium,2021-05-14,2021-04-25,Tow Yard,195
196,8575.23,CLM-2024-000196,REGISTERED,,196,196,Medium,2022-10-13,2022-10-01,Tow Yard,196
197,10993.21,CLM-2025-000197,PAID,,197,197,Medium,2025-07-10,2025-06-28,Client Address,197
198,12146.68,CLM-2020-000198,PAID,,198,198,Medium,2020-04-28,2020-04-14,Workshop B,198
199,14936.36,CLM-2021-000199,REGISTERED,,199,199,Medium,2021-05-07,2021-04-17,Workshop B,199
200,19235.45,CLM-2022-000200,REGISTERED,,200,200,Low,2024-07-28,2024-07-17,Tow Yard,200
201,5217.99,CLM-2023-000201,REGISTERED,,201,201,Medium,2020-10-19,2020-10-17,Tow Yard,201
202,5947.68,CLM-2024-000202,APPROVED,,202,202,Medium,2021-10-28,2021-10-27,Workshop A,202
203,7562.8,CLM-2025-000203,PAID,,203,203,High,2024-05-19,2024-05-19,Workshop A,203
204,17136.5,CLM-2020-000204,REJECTED,,204,204,Low,2023-09-01,2023-08-23,Client Address,204
205,18570.55,CLM-2021-000205,REJECTED,,205,205,Low,2022-02-12,2022-02-04,On Site,205
206,2326.26,CLM-2022-000206,UNDER_REVIEW,,206,206,Low,2022-06-21,2022-06-13,Tow Yard,206
207,4538.91,CLM-2023-000207,PAID,,207,207,Low,2021-10-09,2021-10-04,On Site,207
208,3287.01,CLM-2024-000208,UNDER_REVIEW,,208,208,High,2020-07-17,2020-07-02,On Site,208
209,2782.2,CLM-2025-000209,REGISTERED,,209,209,High,2022-04-18,2022-04-04,Workshop B,209
210,439.87,CLM-2020-000210,UNDER_REVIEW,,210,210,High,2020-06-29,2020-06-20,Client Address,210
211,8237.31,CLM-2021-000211,REJECTED,,211,211,High,2020-08-21,2020-08-08,Client Address,211
212,10029.03,CLM-2022-000212,UNDER_REVIEW,,212,212,Low,2025-10-09,2025-10-06,Tow Yard,212
213,12157.65,CLM-2023-000213,APPROVED,,213,213,High,2022-09-10,2022-08-25,Workshop B,213
214,19779.59,CLM-2024-000214,UNDER_REVIEW,,214,214,Low,2020-07-28,2020-07-13,On Site,214
215,6935.58,CLM-2025-000215,REJECTED,,215,215,Medium,2023-12-10,2023-12-10,Workshop A,215
216,6689.53,CLM-2020-000216,REGISTERED,,216,216,High,2020-04-17,2020-04-08,On Site,216
217,7016.5,CLM-2021-000217,REJECTED,,217,217,Low,2025-12-01,2025-11-22,Client Address,217
218,5923.64,CLM-2022-000218,REJECTED,,218,218,High,2025-02-22,2025-02-06,Tow Yard,218
219,8158.68,CLM-2023-000219,PAID,,219,219,Low,2022-03-28,2022-03-08,On Site,219
220,18706.17,CLM-2024-000220,REJECTED,,220,220,Low,2024-10-15,2024-10-04,Workshop B,220
221,15496.65,CLM-2025-000221,REJECTED,,221,221,High,2023-04-25,2023-04-13,On Site,221
222,15791.82,CLM-2020-000222,PAID,,222,222,High,2024-03-01,2024-02-29,Workshop B,222
223,15492.86,CLM-2021-000223,PAID,,223,223,High,2023-12-25,2023-12-25,Workshop B,223
224,3995.11,CLM-2022-000224,REGISTERED,,224,224,Low,2022-02-04,2022-01-26,Workshop A,224
225,15622.48,CLM-2023-000225,PAID,,225,225,High,2025-08-12,2025-07-30,Workshop A,225
226,4905.44,CLM-2024-000226,REJECTED,,226,226,Medium,2020-03-28,2020-03-18,Client Address,226
227,2229.0,CLM-2025-000227,APPROVED,,227,227,Medium,2021-05-23,2021-05-22,Workshop A,227
228,12213.28,CLM-2020-000228,APPROVED,,228,228,Low,2022-07-23,2022-07-07,On Site,228
229,10177.21,CLM-2021-000229,REGISTERED,,229,229,High,2021-04-23,2021-04-11,Workshop B,229
230,4211.85,CLM-2022-000230,REJECTED,,230,230,High,2024-01-05,2023-12-31,Client Address,230
231,11013.28,CLM-2023-000231,REJECTED,,231,231,Low,2021-12-03,2021-11-15,On Site,231
232,4857.34,CLM-2024-000232,PAID,,232,232,Low,2025-12-28,2025-12-20,On Site,232
233,13694.94,CLM-2025-000233,REGISTERED,,233,233,Medium,2025-12-19,2025-12-09,Workshop B,233
234,9894.72,CLM-2020-000234,APPROVED,,234,234,Medium,2020-04-15,2020-03-26,On Site,234
235,14703.54,CLM-2021-000235,UNDER_REVIEW,,235,235,Medium,2020-09-03,2020-08-15,Workshop A,235
236,5821.41,CLM-2022-000236,APPROVED,,236,236,Low,2022-01-16,2022-01-13,On Site,236
237,18854.33,CLM-2023-000237,APPROVED,,237,237,High,2021-09-25,2021-09-07,On Site,237
238,3898.54,CLM-2024-000238,UNDER_REVIEW,,238,238,Medium,2024-12-02,2024-12-02,Workshop A,238
239,2031.01,CLM-2025-000239,UNDER_REVIEW,,239,239,Medium,2023-11-27,2023-11-27,Tow Yard,239
240,10591.36,CLM-2020-000240,APPROVED,,240,240,High,2024-06-05,2024-05-16,On Site,240
241,6524.82,CLM-2021-000241,UNDER_REVIEW,,241,241,Low,2021-03-14,2021-03-04,Workshop A,241
242,5080.76,CLM-2022-000242,REJECTED,,242,242,Low,2025-01-29,2025-01-26,Workshop B,242
243,4871.85,CLM-2023-000243,PAID,,243,243,High,2022-12-11,2022-11-23,On Site,243
244,1287.46,CLM-2024-000244,UNDER_REVIEW,,244,244,Low,2020-12-30,2020-12-17,Workshop A,244
245,1190.5,CLM-2025-000245,REGISTERED,,245,245,Low,2025-05-08,2025-04-18,Tow Yard,245
246,636.69,CLM-2020-000246,REGISTERED,,246,246,High,2020-10-06,2020-09-23,Tow Yard,246
247,12606.48,CLM-2021-000247,APPROVED,,247,247,Low,2022-01-26,2022-01-14,Client Address,247
248,10050.57,CLM-2022-000248,REGISTERED,,248,248,Medium,2024-11-16,2024-11-03,Client Address,248
249,7887.25,CLM-2023-000249,REGISTERED,,249,249,High,2025-10-18,2025-09-28,On Site,249
250,2970.89,CLM-2024-000250,UNDER_REVIEW,,250,250,High,2020-11-10,2020-11-07,Client Address,250
251,12134.79,CLM-2025-000251,UNDER_REVIEW,,251,251,Medium,2020-09-27,2020-09-12,On Site,251
252,3679.44,CLM-2020-000252,REGISTERED,,252,252,High,2022-01-28,2022-01-21,Workshop A,252
253,19738.27,CLM-2021-000253,REGISTERED,,253,253,Medium,2021-01-04,2020-12-28,On Site,253
254,19436.01,CLM-2022-000254,REGISTERED,,254,254,Medium,2025-09-21,2025-09-11,Client Address,254
255,300.13,CLM-2023-000255,REGISTERED,,255,255,Medium,2023-09-05,2023-08-28,On Site,255
256,15902.02,CLM-2024-000256,PAID,,256,256,High,2020-12-26,2020-12-07,Client Address,256
257,18750.96,CLM-2025-000257,APPROVED,,257,257,High,2020-05-19,2020-05-02,Workshop A,257
258,5899.34,CLM-2020-000258,PAID,,258,258,High,2020-02-09,2020-01-28,Tow Yard,258
259,3381.47,CLM-2021-000259,APPROVED,,259,259,High,2020-02-02,2020-01-27,Workshop A,259
260,7526.87,CLM-2022-000260,PAID,,260,260,High,2021-08-02,2021-07-19,Workshop A,260
261,2934.42,CLM-2023-000261,REJECTED,,261,261,High,2021-01-28,2021-01-12,Workshop A,261
